dataid,building_type,city,pv,house_construction_year,total_square_footage,egauge_min_time,egauge_max_time,use,grid,gen
3367,Single-Family Home,Austin,yes,2007,2843,10/27/2012 19:00,12/31/2016 3:59,yes,yes,yes
3456,Single-Family Home,Austin,yes,2008,1720,10/19/2012 19:00,12/31/2016 4:34,yes,yes,yes
3506,Single-Family Home,Austin,yes,2012,2006,08/16/2014 0:00,12/31/2016 7:59,yes,yes,yes
3527,Single-Family Home,Austin,yes,2008,2075,05/02/2012 19:00,12/31/2016 4:35,yes,yes,yes
3538,Single-Family Home,Austin,yes,2007,1720,04/26/2014 0:00,12/28/2016 5:59,yes,yes,yes
3544,Single-Family Home,Austin,yes,2008,1185,05/02/2012 19:00,03/31/2015 9:59,yes,yes,yes
3632,Single-Family Home,Austin,yes,2008,1720,05/02/2012 1:00,05/31/2013 0:00,yes,yes,yes
3635,Single-Family Home,Austin,yes,2007,2521,05/15/2012 19:00,11/07/2016 3:32,yes,yes,yes
3649,Single-Family Home,Austin,yes,1973,2446,03/28/2013 0:00,12/31/2016 4:59,yes,yes,yes
3719,Single-Family Home,Austin,yes,2007,2843,05/15/2012 19:00,09/04/2016 6:31,yes,yes,yes
3723,Single-Family Home,Austin,yes,2008,1544,05/29/2012 15:09,09/23/2016 5:59,yes,yes,yes
3736,Single-Family Home,Austin,yes,1968,1790,05/07/2013 19:00,12/31/2016 3:59,yes,yes,yes
3829,Single-Family Home,Austin,yes,2010,2385,10/09/2013 19:00,11/26/2016 7:54,yes,yes,yes
3849,Single-Family Home,Austin,yes,2009,2297,08/28/2014 0:00,12/31/2016 5:59,yes,yes,yes
3918,Single-Family Home,Austin,yes,2008,3023,09/17/2012 19:00,12/31/2016 5:59,yes,yes,yes
3935,Single-Family Home,Austin,yes,2008,1544,05/15/2012 19:00,12/31/2016 7:31,yes,yes,yes
3964,Single-Family Home,Austin,yes,2008,1946,05/21/2012 19:00,10/13/2013 18:59,yes,yes,yes
3967,Single-Family Home,Austin,yes,2008,2521,05/15/2012 19:00,12/31/2016 6:59,yes,yes,yes
4031,Single-Family Home,Austin,yes,2007,1946,11/03/2012 19:00,12/31/2016 8:59,yes,yes,yes
4135,Single-Family Home,Austin,yes,2008,1392,11/22/2012 18:00,06/02/2015 2:48,yes,yes,yes
4154,Single-Family Home,Austin,yes,1962,1076,08/23/2012 19:00,12/31/2016 6:59,yes,yes,yes
4193,Single-Family Home,Austin,yes,2008,2669,05/02/2012 19:00,11/16/2016 2:59,yes,yes,yes
4296,Single-Family Home,Austin,yes,2007,2036,06/30/2013 19:00,12/22/2016 1:59,yes,yes,yes
4297,Single-Family Home,Austin,yes,2009,1439,03/19/2014 0:00,12/31/2016 5:59,yes,yes,yes
4302,Single-Family Home,Austin,yes,2009,2521,09/17/2012 19:00,09/28/2015 2:37,yes,yes,yes
4336,Single-Family Home,Austin,yes,2009,2090,08/14/2013 0:00,12/01/2016 7:34,yes,yes,yes
4357,Single-Family Home,Austin,yes,2008,1069,05/02/2012 19:00,12/31/2016 5:36,yes,yes,yes
4373,Single-Family Home,Austin,yes,2008,2122,05/31/2012 19:00,12/31/2016 3:36,yes,yes,yes
4447,Single-Family Home,Austin,yes,2010,2713,05/02/2012 19:00,12/31/2016 6:31,yes,yes,yes
4514,Single-Family Home,Austin,yes,2007,2122,06/27/2013 0:00,12/31/2016 7:35,yes,yes,yes
4526,Single-Family Home,Austin,yes,2009,2521,08/18/2012 19:00,12/31/2016 6:59,yes,yes,yes
4732,Single-Family Home,Austin,yes,2008,1422,05/24/2014 0:00,04/22/2015 2:59,yes,yes,yes
4767,Single-Family Home,Austin,yes,2008,2710,07/10/2012 19:00,12/31/2016 7:59,yes,yes,yes
4874,Single-Family Home,Austin,yes,2010,2021,06/25/2013 19:00,12/31/2016 4:59,yes,yes,yes
4922,Single-Family Home,Austin,yes,1985,2236,02/14/2013 18:00,06/25/2015 2:59,yes,yes,yes
4957,Single-Family Home,Austin,yes,2006,3381,07/18/2012 0:00,12/31/2016 6:59,yes,yes,yes
5035,Single-Family Home,Austin,yes,1959,1630,08/19/2014 0:00,12/31/2016 2:33,yes,yes,yes
5129,Single-Family Home,Austin,yes,2008,1439,03/19/2012 19:00,12/31/2016 2:59,yes,yes,yes
