,overlap_length_yrs,overlap_start,overlap_end,segment_count,segment_list
26870,2.019176179604262,1350777600,1414454340,105,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
26993,2.0065810502283106,1448927940,1512207480,108,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,6691,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9134,9160,9235,9737,9932,9937,9939,9971"
27012,2.0065791476407915,1448927940,1512207420,110,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2814,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,6691,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8767,8829,890,8967,8995,9019,9052,9121,9134,9160,9235,9737,9932,9937,9939,9971"
27028,2.006598173515982,1448927940,1512208020,106,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9160,9235,9737,9932,9937,9939,9971"
27033,2.00662100456621,1448927940,1512208740,105,"1103,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9160,9235,9737,9932,9937,9939,9971"
27072,2.006596270928463,1448927940,1512207960,107,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9134,9160,9235,9737,9932,9937,9939,9971"
28517,2.008133561643836,1448879460,1512207960,107,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9134,9160,9235,9737,9932,9937,9939,9971"
28518,2.0081164383561645,1448879460,1512207420,110,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2814,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,6691,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8767,8829,890,8967,8995,9019,9052,9121,9134,9160,9235,9737,9932,9937,9939,9971"
28547,2.008158295281583,1448879460,1512208740,105,"1103,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9160,9235,9737,9932,9937,9939,9971"
28564,2.0081354642313545,1448879460,1512208020,106,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9160,9235,9737,9932,9937,9939,9971"
28583,2.0081183409436836,1448879460,1512207480,108,"1103,1169,1185,1415,1642,1697,1714,1718,1792,2018,2072,2129,2199,2361,2461,2470,2557,26,2925,2965,2980,3009,3036,3039,3134,3310,3367,3506,3527,3649,370,3736,379,3849,3967,4297,4336,434,4357,4447,4514,4526,499,5035,5218,5246,5275,5357,5395,5439,545,5450,5545,5615,5738,5749,5784,5796,5874,5892,6061,6063,6139,6248,6266,6423,661,668,6691,7016,7017,7030,7108,7429,744,7504,7560,7627,7680,7739,7767,7788,781,7850,7900,7940,7965,8059,8084,8236,8243,8419,8645,8829,890,8967,8995,9019,9052,9121,9134,9160,9235,9737,9932,9937,9939,9971"
32365,2.0264992389649925,1351086720,1414994400,106,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
32530,2.0093740487062406,1351086720,1414454340,107,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
32545,2.055949391171994,1351086720,1415923140,106,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
