dataid,city,building_type,total_square_footage,house_construction_year,egauge_min_time,egauge_max_time
4031,Austin,Single-Family Home,1946.0,2007.0,2012-11-04 00:00:00,2017-11-14 10:59:00
4135,Austin,Single-Family Home,1392.0,2008.0,2012-11-23 00:00:00,2015-06-02 07:48:00
4154,Austin,Single-Family Home,1076.0,1962.0,2012-08-24 00:00:00,2017-01-13 06:48:00
4193,Austin,Single-Family Home,2669.0,2008.0,2012-05-03 00:00:00,2017-06-18 08:59:00
4296,Austin,Single-Family Home,2036.0,2007.0,2013-07-01 00:00:00,2017-11-11 15:59:00
4297,Austin,Single-Family Home,1439.0,2009.0,2014-03-19 05:00:00,2017-12-02 10:59:00
4302,Austin,Single-Family Home,2521.0,2009.0,2012-09-18 00:00:00,2015-09-28 07:37:00
4336,Austin,Single-Family Home,2090.0,2009.0,2013-08-14 05:00:00,2017-12-02 10:59:00
4357,Austin,Single-Family Home,1069.0,2008.0,2012-05-03 00:00:00,2017-12-02 12:59:00
4373,Austin,Single-Family Home,2122.0,2008.0,2012-06-01 00:00:00,2017-11-14 10:59:00
4447,Austin,Single-Family Home,2713.0,2010.0,2012-05-03 00:00:00,2017-12-02 09:59:00
4514,Austin,Single-Family Home,2122.0,2007.0,2013-06-27 05:00:00,2017-12-02 11:55:00
4526,Austin,Single-Family Home,2521.0,2009.0,2012-08-19 00:00:00,2017-12-02 12:59:00
4732,Austin,Single-Family Home,1422.0,2008.0,2014-05-24 05:00:00,2017-12-02 08:59:00
4767,Austin,Single-Family Home,2710.0,2008.0,2012-07-11 00:00:00,2017-11-14 08:59:00
4874,Austin,Single-Family Home,2021.0,2010.0,2013-06-26 00:00:00,2017-09-14 07:14:00
4922,Austin,Single-Family Home,2236.0,1985.0,2013-02-15 00:00:00,2015-06-25 07:59:00
4957,Austin,Single-Family Home,3381.0,2006.0,2012-07-18 05:00:00,2017-07-29 10:59:00
5035,Austin,Single-Family Home,1630.0,1959.0,2014-08-19 05:00:00,2017-12-02 12:33:00
5129,Austin,Single-Family Home,1439.0,2008.0,2012-03-20 00:00:00,2017-12-02 08:59:00
5218,Austin,Single-Family Home,2047.0,1986.0,2012-09-01 00:00:00,2017-12-02 12:59:00
5246,Austin,Single-Family Home,1994.0,2009.0,2012-05-03 00:00:00,2017-12-02 12:34:00
5275,Austin,Single-Family Home,2132.0,2007.0,2012-05-03 00:00:00,2017-12-02 11:31:00
5357,Austin,Single-Family Home,3225.0,2011.0,2012-09-28 00:00:00,2017-12-02 12:59:00
5395,Austin,Single-Family Home,1556.0,2008.0,2012-11-02 00:00:00,2017-12-02 09:59:00
5403,Austin,Single-Family Home,1720.0,2007.0,2012-05-23 00:00:00,2017-11-13 15:59:00
5438,Austin,Single-Family Home,2075.0,2008.0,2012-05-02 06:00:00,2012-08-30 05:00:00
5439,Austin,Single-Family Home,1544.0,2008.0,2012-05-03 00:00:00,2017-12-02 12:59:00
5450,Austin,Single-Family Home,2345.0,2008.0,2015-07-25 05:00:00,2017-12-02 09:59:00
5545,Austin,Single-Family Home,1994.0,2009.0,2013-07-02 00:00:00,2017-12-02 11:31:00
5615,Austin,Single-Family Home,2216.0,2009.0,2012-05-03 00:00:00,2017-12-02 12:33:00
5738,Austin,Single-Family Home,2843.0,2008.0,2012-05-03 00:00:00,2017-12-02 10:59:00
5749,Austin,Single-Family Home,3530.0,1992.0,2015-03-07 06:00:00,2017-12-02 09:59:00
5784,Austin,Single-Family Home,6408.0,2014.0,2015-06-06 05:00:00,2017-12-02 12:59:00
5785,Austin,Single-Family Home,1842.0,2007.0,2012-05-03 00:00:00,2017-09-22 08:31:00
5786,Austin,Single-Family Home,4354.0,1940.0,2013-09-12 00:00:00,2017-05-26 10:59:00
5796,Austin,Single-Family Home,1720.0,2007.0,2012-05-03 00:00:00,2017-12-02 12:59:00
5817,Austin,Single-Family Home,2001.0,2007.0,2012-05-03 00:00:00,2015-12-31 06:00:00
5874,Austin,Single-Family Home,1215.0,1955.0,2012-12-09 00:00:00,2017-12-02 11:59:00
5892,Austin,Single-Family Home,2122.0,2007.0,2012-05-03 00:00:00,2017-12-02 13:33:00
5921,Austin,Single-Family Home,2001.0,2008.0,2014-06-10 05:00:00,2017-12-02 08:31:00
5972,Austin,Single-Family Home,2843.0,2008.0,2012-10-19 00:00:00,2017-11-13 12:59:00
6061,Austin,Single-Family Home,3255.0,2009.0,2014-02-12 00:00:00,2017-12-02 11:59:00
6063,Austin,Single-Family Home,1842.0,2008.0,2014-07-16 05:00:00,2017-12-02 09:59:00
6121,Austin,Single-Family Home,2174.0,2010.0,2012-08-16 00:00:00,2017-12-01 08:33:00
6139,Austin,Single-Family Home,2361.0,1970.0,2012-09-16 00:00:00,2017-12-02 12:59:00
6248,Austin,Single-Family Home,2967.0,1989.0,2015-03-05 06:00:00,2017-12-02 09:59:00
6266,Austin,Single-Family Home,2345.0,2008.0,2012-05-03 00:00:00,2017-12-02 12:59:00
6348,Austin,Single-Family Home,2181.0,2013.0,2014-07-12 05:00:00,2017-09-23 11:59:00
6412,Austin,Single-Family Home,3877.0,1968.0,2012-11-09 06:00:00,2017-12-02 09:04:00
6423,Austin,Single-Family Home,1544.0,2008.0,2012-05-03 00:00:00,2017-12-02 12:28:00
6545,Austin,Single-Family Home,3459.0,2007.0,2012-05-03 00:00:00,2014-03-30 05:00:00
6643,Austin,Single-Family Home,2154.0,2008.0,2012-05-03 00:00:00,2017-05-19 07:59:00
6691,Austin,Single-Family Home,2000.0,1977.0,2014-03-06 06:00:00,2017-12-02 09:38:00
6836,Austin,Single-Family Home,1217.0,2008.0,2014-03-26 05:00:00,2017-11-14 09:59:00
6871,Austin,Single-Family Home,1439.0,2009.0,2012-05-25 00:00:00,2015-06-11 07:46:00
6941,Austin,Single-Family Home,2638.0,2007.0,2012-10-31 00:00:00,2017-06-11 09:59:00
6979,Austin,Single-Family Home,1946.0,2008.0,2012-05-11 06:00:00,2013-06-13 05:00:00
6990,Austin,Single-Family Home,2345.0,2008.0,2012-07-13 16:45:00,2017-11-14 10:59:00
7016,Austin,Single-Family Home,2710.0,2008.0,2012-05-03 00:00:00,2017-12-02 11:33:00
7017,Austin,Single-Family Home,3249.0,2008.0,2014-01-24 00:00:00,2017-12-02 09:59:00
7030,Austin,Single-Family Home,2122.0,2007.0,2013-08-06 00:00:00,2017-12-02 09:59:00
7036,Austin,Single-Family Home,2075.0,2007.0,2014-08-30 00:00:00,2015-01-26 05:59:00
7108,Austin,Single-Family Home,1435.0,2011.0,2012-05-19 00:00:00,2017-12-02 13:32:00
7240,Austin,Single-Family Home,2196.0,2010.0,2012-05-03 00:00:00,2013-10-06 23:59:00
7429,Austin,Single-Family Home,2521.0,2007.0,2012-05-03 00:00:00,2017-12-02 12:59:00
7504,Austin,Single-Family Home,,,2012-12-12 00:00:00,2017-12-02 09:59:00
7510,Austin,Single-Family Home,3780.0,1991.0,2012-08-18 00:00:00,2016-07-27 05:59:00
7536,Austin,Single-Family Home,2710.0,2008.0,2012-10-26 00:00:00,2017-11-14 10:34:00
7541,Austin,Single-Family Home,3459.0,2007.0,2017-06-01 00:00:00,2017-12-02 10:59:00
7560,Austin,Single-Family Home,2345.0,2007.0,2014-08-19 05:00:00,2017-12-02 11:59:00
7627,Austin,Single-Family Home,2669.0,2008.0,2012-05-03 00:00:00,2017-12-02 10:59:00
7680,Austin,Single-Family Home,2006.0,2008.0,2012-11-07 00:00:00,2017-12-02 10:33:00
7719,Austin,Single-Family Home,2919.0,2008.0,2014-05-15 05:00:00,2017-11-13 15:59:00
7731,Austin,Single-Family Home,2194.0,2007.0,2012-05-03 00:00:00,2017-12-02 08:59:00
7739,Austin,Single-Family Home,1439.0,2008.0,2012-05-03 00:00:00,2017-12-02 13:35:00
7767,Austin,Single-Family Home,1252.0,2008.0,2012-05-03 00:00:00,2017-12-02 10:59:00
7788,Austin,Single-Family Home,1434.0,2008.0,2013-10-25 00:00:00,2017-12-02 11:23:00
7793,Austin,Single-Family Home,2687.0,1998.0,2014-04-24 05:00:00,2017-03-03 10:34:00
7800,Austin,Single-Family Home,2075.0,2008.0,2012-09-02 00:00:00,2017-12-02 08:59:00
7850,Austin,Single-Family Home,2345.0,2007.0,2012-05-16 00:00:00,2017-12-02 10:59:00
7863,Austin,Single-Family Home,1994.0,2009.0,2012-07-21 00:00:00,2016-03-05 09:40:00
7875,Austin,Single-Family Home,3028.0,2012.0,2013-01-25 06:00:00,2017-12-02 08:59:00
7900,Austin,Single-Family Home,2631.5,2009.0,2014-05-14 00:00:00,2017-12-02 11:30:00
7940,Austin,Single-Family Home,2214.0,2009.0,2012-12-12 00:00:00,2017-12-02 09:59:00
7965,Austin,Single-Family Home,3242.0,2009.0,2013-12-03 06:00:00,2017-12-02 10:31:00
7982,Austin,Single-Family Home,1720.0,2007.0,2013-02-23 00:00:00,2014-11-13 23:59:00
7989,Austin,Single-Family Home,2148.0,1973.0,2012-09-07 00:00:00,2017-12-02 08:59:00
8046,Austin,Single-Family Home,2740.0,1994.0,2013-08-12 00:00:00,2017-12-02 08:59:00
